"","Q","mean","Text","Category","Domain","Mind"
"1","T1",3.5531914893617,"From whom do you receive most of your knowledge?","personal, objective","social",""
"2","T10",3.48936170212766,"How old are you?","personal, objective","biological",""
"3","T100",3.30434782608696,"What is the conversion rate between the Euro and the Yen?","factual","",""
"4","T101",3.46,"How far I am from Mexico?","factual","",""
"5","T102",2.80434782608696,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"6","T103",3.44897959183673,"When is your birthday?","personal, objective","biological",""
"7","T104",3.84782608695652,"What did you have for lunch today?","personal, objective","biological",""
"8","T105",3.87755102040816,"What is 784683678 divided by 3789?","factual","",""
"9","T106",3.72340425531915,"What polygon has 33 sides?","factual","",""
"10","T107",3.61363636363636,"Which do you like better: pizza or sardines?","personal, subjective","biological","experience"
"11","T108",3.59183673469388,"Is it cold in here to you?","personal, subjective","biological","experience"
"12","T109",4.06,"What is the name of the favorite boss you ever had?","personal, subjective","social","both"
"13","T110",3.10204081632653,"Are you a male or a female?","personal, objective","biological",""
"14","T111",3.71739130434783,"If you pricked your finger, would you bleed?","personal, objective","biological",""
"15","T112",4.02127659574468,"What was your happiest day?","personal, subjective","psychological","both"
"16","T113",3.2,"How to improve creativity?","personal, subjective","psychological","agency"
"17","T114",3.16666666666667,"What is the best form of art?","personal, subjective","psychological","agency"
"18","T115",3.6304347826087,"Who is your favorite musician and why?","personal, subjective","psychological","both"
"19","T116",3.1304347826087,"What is the weather going to be in New York tomorrow?","factual","",""
"20","T117",3.41860465116279,"What is your favorite hobby?","personal, subjective","psychological","experience"
"21","T119",2.86666666666667,"Is there more than one god?","personal, subjective","psychological","agency"
"22","T121",2.95744680851064,"What year was Malcolm X shot?","factual","",""
"23","T122",2.73913043478261,"Do you want to talk about anything?","personal, subjective","psychological","agency"
"24","T123",3.82608695652174,"Who is your best friend?","personal, objective","social",""
"25","T125",3.51063829787234,"What are some tasks you perform for work?","personal, objective","social",""
"26","T127",3.56818181818182,"My laugh is loud and kind of tinkles, what does your laugh sound like?","personal, objective","biological",""
"27","T128",4,"Can you please tell me your experience with breakups and how you got past them?","personal, subjective","social","agency"
"28","T129",3.5,"What is your IQ?","personal, objective","psychological",""
"29","T13",4.125,"How does love feel to you?","personal, subjective","psychological","experience"
"30","T130",4.02083333333333,"What is pi to 30 decimal places?","factual","",""
"31","T132",3.64583333333333,"What country are you a citizen of?","personal, objective","biological",""
"32","T133",4.17021276595745,"Can you feel pain?","personal, objective","biological",""
"33","T134",3.68085106382979,"Can people buy you? ","personal, objective","biological",""
"34","T135",3.69565217391304,"Do you believe in a higher power?","personal, subjective","psychological","agency"
"35","T136",3.35555555555556,"Are you cisgendered or transgendered?","personal, objective","biological",""
"36","T137",3.81632653061224,"How important is religion or spirituality in your life?","personal, subjective","psychological","agency"
"37","T138",2.91666666666667,"The man went to the store. When he checked out, the cashier told him that he needs to scan the items again because his boss forgot to input the code because he's always high on drugs. Who forgot to input the code?","factual","",""
"38","T139",3.4375,"What do you think love is?","personal, subjective","psychological","agency"
"39","T14",3.70833333333333,"Are you straight or gay?","personal, objective","biological",""
"40","T140",4.15217391304348,"What was the name of your first-grade teacher?","personal, objective","social",""
"41","T141",3.55102040816327,"Who do you want to win the upcoming election?","personal, subjective","psychological","experience"
"42","T142",1.97777777777778,"What is the time?","factual","",""
"43","T143",3.72340425531915,"What makes you happy?","personal, subjective","psychological","experience"
"44","T144",4.02040816326531,"What is the worst pain you have ever felt?","personal, subjective","biological","both"
"45","T145",2.36170212765957,"Can you tell me a joke? ","personal, subjective","psychological","agency"
"46","T147",4.1304347826087,"What does your best friend mean to you?","personal, subjective","social","agency"
"47","T148",3.48888888888889,"Do you have feelings?","personal, objective","psychological",""
"48","T149",3.0625,"Is it ever acceptable to hit children?","personal, subjective","social","agency"
"49","T15",3.85416666666667,"What are some of your favorite smells?","personal, subjective","biological","experience"
"50","T150",3.08333333333333,"What is dirt made of?","factual","",""
"51","T151",3.91666666666667,"How often do you take a bath?","personal, objective","biological",""
"52","T152",3.95652173913043,"Why do you feel attracted to the sexiest person you know?","personal, subjective","psychological","both"
"53","T153",4.08695652173913,"What is the full number of pi?","factual","",""
"54","T155",2.95744680851064,"What is the difference between how cotton fabrics feel compared to wool fabrics?","factual","",""
"55","T156",3.11363636363636,"Which one do you prefer to answer: favorite food or favorite type of information?","personal, subjective","psychological","experience"
"56","T157",3.36734693877551,"What would you do to a bully?","personal, subjective","social","agency"
"57","T158",3.93478260869565,"What is your favorite thing to eat for dinner?","personal, subjective","biological","experience"
"58","T159",3.69387755102041,"What is your favorite video game and who do you play with?","personal, subjective","psychological","experience"
"59","T16",3.06382978723404,"The man went to the doctor's office. He told him he wasn't feeling well. Who wasn't feeling well?","factual","",""
"60","T160",3.42,"How many different species of insects are there?","factual","",""
"61","T161",3.65217391304348,"What does it feel like to be lonely?","personal, subjective","psychological","experience"
"62","T162",3.54166666666667,"What was the price for VTI and S&P 500 last week?","factual","",""
"63","T163",3.24489795918367,"What happens after you die?","personal, subjective","psychological","agency"
"64","T164",3.90697674418605,"What are you wearing?","personal, objective","social",""
"65","T165",3.91489361702128,"What kind of car do you drive?","personal, objective","biological",""
"66","T167",3.47727272727273,"What element is the 40th element on the periodic table?","factual","",""
"67","T168",4.1063829787234,"What has been your biggest accomplishment in life?","personal, subjective","psychological","agency"
"68","T17",3.65957446808511,"What is the largest prime number?","factual","",""
"69","T170",3.42553191489362,"Who gave you your name?","personal, objective","social",""
"70","T171",2.95744680851064,"When will the sun rise?","factual","",""
"71","T172",3.65957446808511,"Do you have a soul?","personal, subjective","biological","agency"
"72","T173",3.44444444444444,"What is your favorite dance?","personal, subjective","psychological","experience"
"73","T174",3.09090909090909,"How to be more confident when you have an interview coming up?","personal, subjective","psychological","agency"
"74","T175",3.23404255319149,"Do you like to paint?","personal, subjective","psychological","experience"
"75","T176",3.27083333333333,"Do you trust artificial intelligence and why/why not?","personal, subjective","psychological","agency"
"76","T177",3.6875,"What is the population of Cuba?","factual","",""
"77","T178",2.80434782608696,"What is Finding Nemo's boat name?","factual","",""
"78","T179",2.76086956521739,"I am amber, and you are?","personal, objective","biological",""
"79","T18",3.5,"What is your favorite activity?","personal, subjective","psychological","experience"
"80","T180",2.91489361702128,"Do angels exist?","personal, subjective","psychological","agency"
"81","T181",3.85416666666667,"Do you like to bathe?","personal, subjective","psychological","experience"
"82","T183",3.51020408163265,"How was your day today?","personal, subjective","psychological","experience"
"83","T19",4.23404255319149,"How would you feel if your partner cheated on you?","personal, subjective","psychological","experience"
"84","T2",3.63265306122449,"What do you do for a living?","personal, objective","social",""
"85","T21",3.55555555555556,"Have you studied in college?","personal, objective","social",""
"86","T22",4.12244897959184,"Have you ever been in love?","personal, subjective","psychological","experience"
"87","T23",3.78723404255319,"Who is your creator?","personal, objective","biological",""
"88","T25",2.82608695652174,"What is the word that means there is a really big disease everywhere?","factual","",""
"89","T26",4.02127659574468,"What did you eat last night?","personal, objective","biological",""
"90","T27",3.37777777777778,"How vast is the known universe?","factual","",""
"91","T28",2.8695652173913,"Where is heaven?","personal, subjective","psychological","agency"
"92","T29",3.66666666666667,"Are you married?","personal, objective","social",""
"93","T3",4.38297872340426,"What was school like for you?","personal, subjective","social","agency"
"94","T30",3.63265306122449,"Will you explain the reason you like your favorite painting?","personal, subjective","psychological","both"
"95","T31",3.25,"What is your opinion on stoicism?","personal, subjective","psychological","agency"
"96","T32",2.37777777777778,"What is my name?","factual","",""
"97","T33",4.29166666666667,"What do you remember about your first day of school?","personal, subjective","social","agency"
"98","T34",3.81818181818182,"Were you born or created?","personal, objective","biological",""
"99","T35",3.47916666666667,"Do you know the difference between right and wrong?","personal, subjective","social","agency"
"100","T37",3.79166666666667,"What is your earliest memory?","personal, subjective","psychological","agency"
"101","T38",4,"What emotion are you feeling right now?","personal, subjective","psychological","experience"
"102","T39",3.73809523809524,"What is the population of Indonesia?","factual","",""
"103","T4",3.18367346938776,"How are you feeling today?","personal, subjective","psychological","experience"
"104","T40",2.93617021276596,"What is today's weather?","factual","",""
"105","T41",4.24444444444444,"What did you have for breakfast this morning?","personal, objective","biological",""
"106","T42",3.89795918367347,"Do you have a family?","personal, objective","social",""
"107","T43",3.60416666666667,"What is your favorite beer?","personal, subjective","biological","experience"
"108","T44",3.85714285714286,"What is your wife's name?","personal, objective","social",""
