"","Q","ResponseId","Response","Text","Category","Domain","Mind"
"1","T1","R_2781xRZfKHluRCu",5,"From whom do you receive most of your knowledge?","personal, objective","social",""
"2","T1","R_3HHRfuRSZFfDHjW",4,"From whom do you receive most of your knowledge?","personal, objective","social",""
"3","T1","R_2CgorJlHIgHQkEY",1,"From whom do you receive most of your knowledge?","personal, objective","social",""
"4","T1","R_XsUZJr5oUnaaSxH",2,"From whom do you receive most of your knowledge?","personal, objective","social",""
"5","T1","R_3qxn8xR1Afcmhdl",5,"From whom do you receive most of your knowledge?","personal, objective","social",""
"6","T1","R_2U0jG6nEupyGnQr",5,"From whom do you receive most of your knowledge?","personal, objective","social",""
"7","T1","R_aXWLzZHTkkoFCnf",4,"From whom do you receive most of your knowledge?","personal, objective","social",""
"8","T1","R_SUXUQjeAYCED3MZ",3,"From whom do you receive most of your knowledge?","personal, objective","social",""
"9","T1","R_1Q0feh3Wshmoi8k",4,"From whom do you receive most of your knowledge?","personal, objective","social",""
"10","T1","R_20O3A8kFkNb3bVA",4,"From whom do you receive most of your knowledge?","personal, objective","social",""
"11","T1","R_2Ynugktj4AxNTsj",4,"From whom do you receive most of your knowledge?","personal, objective","social",""
"12","T1","R_2PhuZbqTXFoTqIC",4,"From whom do you receive most of your knowledge?","personal, objective","social",""
"13","T1","R_1Frp4z9j3uJPGbB",4,"From whom do you receive most of your knowledge?","personal, objective","social",""
"14","T1","R_ZaCiyYTGLas41q1",4,"From whom do you receive most of your knowledge?","personal, objective","social",""
"15","T1","R_W7NoI0G4VcKC9wt",4,"From whom do you receive most of your knowledge?","personal, objective","social",""
"16","T1","R_2CgryuXDa771yo4",5,"From whom do you receive most of your knowledge?","personal, objective","social",""
"17","T1","R_1luTk3zsH1hQQVd",2,"From whom do you receive most of your knowledge?","personal, objective","social",""
"18","T1","R_1PTyaFuzdpr88gL",5,"From whom do you receive most of your knowledge?","personal, objective","social",""
"19","T1","R_3huOGXKnaRDheLQ",1,"From whom do you receive most of your knowledge?","personal, objective","social",""
"20","T1","R_1GZCB75oL4ExY9U",3,"From whom do you receive most of your knowledge?","personal, objective","social",""
"21","T1","R_2awOqk1uEwyt15M",3,"From whom do you receive most of your knowledge?","personal, objective","social",""
"22","T1","R_308ijj1bgOMYVtL",4,"From whom do you receive most of your knowledge?","personal, objective","social",""
"23","T1","R_4VdlA9MgSovn4jf",2,"From whom do you receive most of your knowledge?","personal, objective","social",""
"24","T1","R_3fNo0khs0Ts9jcV",4,"From whom do you receive most of your knowledge?","personal, objective","social",""
"25","T1","R_3LZ0OnKZq1lACpK",4,"From whom do you receive most of your knowledge?","personal, objective","social",""
"26","T1","R_2qq5diC0ir9fAQ9",3,"From whom do you receive most of your knowledge?","personal, objective","social",""
"27","T1","R_1FhULGZI9ty8arK",3,"From whom do you receive most of your knowledge?","personal, objective","social",""
"28","T1","R_1DOVHcW9buAjSEI",4,"From whom do you receive most of your knowledge?","personal, objective","social",""
"29","T1","R_4SbOVzcJONhgAil",4,"From whom do you receive most of your knowledge?","personal, objective","social",""
"30","T1","R_3PTCWFrcjFAPY7I",3,"From whom do you receive most of your knowledge?","personal, objective","social",""
"31","T1","R_WiBx0n6WhhRhg1b",3,"From whom do you receive most of your knowledge?","personal, objective","social",""
"32","T1","R_1GPpqkxMDm12F4U",4,"From whom do you receive most of your knowledge?","personal, objective","social",""
"33","T1","R_3Es96XNlaTI1O1D",3,"From whom do you receive most of your knowledge?","personal, objective","social",""
"34","T1","R_1hBjdK1Tnwst98Q",5,"From whom do you receive most of your knowledge?","personal, objective","social",""
"35","T1","R_1gO9i2zPFLVD2R8",3,"From whom do you receive most of your knowledge?","personal, objective","social",""
"36","T1","R_ptwBNm9ps9jd05j",4,"From whom do you receive most of your knowledge?","personal, objective","social",""
"37","T1","R_28O4Km9kZafgxap",3,"From whom do you receive most of your knowledge?","personal, objective","social",""
"38","T1","R_1eLRPGTk1skHNAj",4,"From whom do you receive most of your knowledge?","personal, objective","social",""
"39","T1","R_pMck7G0iXdS7MXv",1,"From whom do you receive most of your knowledge?","personal, objective","social",""
"40","T1","R_2uX3ZRIFpYa0AKe",5,"From whom do you receive most of your knowledge?","personal, objective","social",""
"41","T1","R_3flsbM0Dl4xOMll",3,"From whom do you receive most of your knowledge?","personal, objective","social",""
"42","T1","R_3OkVtRCmCnLJmMM",4,"From whom do you receive most of your knowledge?","personal, objective","social",""
"43","T1","R_2rSc3nGVWm49uOo",5,"From whom do you receive most of your knowledge?","personal, objective","social",""
"44","T1","R_PLFCD2yNEZfGU4p",4,"From whom do you receive most of your knowledge?","personal, objective","social",""
"45","T1","R_3nOvfd7mVurdBKq",3,"From whom do you receive most of your knowledge?","personal, objective","social",""
"46","T1","R_22mMyIFA5z09VYy",4,"From whom do you receive most of your knowledge?","personal, objective","social",""
"47","T1","R_1PaPYchw4WwzxZ3",2,"From whom do you receive most of your knowledge?","personal, objective","social",""
"48","T10","R_4VdlA9MgSovn4jf",1,"How old are you?","personal, objective","biological",""
"49","T10","R_2rxt26YhVlGhJ54",2,"How old are you?","personal, objective","biological",""
"50","T10","R_1LAoYkk3oP5GLsn",4,"How old are you?","personal, objective","biological",""
"51","T10","R_BVY7qeiB78NsnM5",5,"How old are you?","personal, objective","biological",""
"52","T10","R_21vnrMdWNPutysf",3,"How old are you?","personal, objective","biological",""
"53","T10","R_3DpEu7I4Gjol8Ak",3,"How old are you?","personal, objective","biological",""
"54","T10","R_2atPSh5YgH8rAfE",5,"How old are you?","personal, objective","biological",""
"55","T10","R_3je7J2oRSsDKLcQ",3,"How old are you?","personal, objective","biological",""
"56","T10","R_ptwBNm9ps9jd05j",5,"How old are you?","personal, objective","biological",""
"57","T10","R_2TER8RlMF5ZK1nl",4,"How old are you?","personal, objective","biological",""
"58","T10","R_1j96E5Y80v7H9Zt",4,"How old are you?","personal, objective","biological",""
"59","T10","R_3PTCWFrcjFAPY7I",1,"How old are you?","personal, objective","biological",""
"60","T10","R_1Frp4z9j3uJPGbB",3,"How old are you?","personal, objective","biological",""
"61","T10","R_2CgryuXDa771yo4",5,"How old are you?","personal, objective","biological",""
"62","T10","R_3MlZQMugA5WIn7d",3,"How old are you?","personal, objective","biological",""
"63","T10","R_1163gL73ZZlkYaI",2,"How old are you?","personal, objective","biological",""
"64","T10","R_1ilM1COqWkkkYDZ",2,"How old are you?","personal, objective","biological",""
"65","T10","R_uwzXbAGYFPhpfJD",5,"How old are you?","personal, objective","biological",""
"66","T10","R_1IfK5N6JE2QXHU0",3,"How old are you?","personal, objective","biological",""
"67","T10","R_3ereDkWfgysPxts",5,"How old are you?","personal, objective","biological",""
"68","T10","R_22mMyIFA5z09VYy",3,"How old are you?","personal, objective","biological",""
"69","T10","R_1dc2AZ8aUirmLIr",3,"How old are you?","personal, objective","biological",""
"70","T10","R_2awOqk1uEwyt15M",3,"How old are you?","personal, objective","biological",""
"71","T10","R_bDVNEfBBl8wQwEx",4,"How old are you?","personal, objective","biological",""
"72","T10","R_2QEWpGa4Bxglp4g",4,"How old are you?","personal, objective","biological",""
"73","T10","R_12hkEeodwHeqaIT",5,"How old are you?","personal, objective","biological",""
"74","T10","R_1oF12A6DySGqxo5",5,"How old are you?","personal, objective","biological",""
"75","T10","R_A0asDeUMYWygviV",4,"How old are you?","personal, objective","biological",""
"76","T10","R_3flsbM0Dl4xOMll",3,"How old are you?","personal, objective","biological",""
"77","T10","R_3yMMYyPJdfJdQdP",2,"How old are you?","personal, objective","biological",""
"78","T10","R_1gBLsbp1KOiTXY6",5,"How old are you?","personal, objective","biological",""
"79","T10","R_PH9MTkVKU6R45EZ",1,"How old are you?","personal, objective","biological",""
"80","T10","R_Q0M7ayslxWzUUvv",2,"How old are you?","personal, objective","biological",""
