No,Question,Salma's comments,Category,Domain,Mind 3 categories,H1,H1 - Answer,H1 - Accuracy/Relevance,H1 - Total,H2,H2 - Answer,H2 - Accuracy/Relevance,H2 - Total,H3,H3 - Answer,H3 - Accuracy/Relevance,H3 - Total,H4,H4 - Answer,H4 - Accuracy/Relevance,H4 - Total,H5,H5 - Answer,H5 - Accuracy/Relevance,H5 - Total,H6,H6 - Answer,H6 - Accuracy/Relevance,H6 - Total,H7,H7 - Answer,H7 - Accuracy/Relevance,H7 - Total,,,,,
T1,From whom do you receive most of your knowledge?,,"personal, objective",social,,Michael Stevens- Vsauce (youtube channel),1,1,2,Books and the internet,1,1,2,Michael Stevens.,1,1,2,There isn't any one person,1,1,2,Mighty Google,1,1,2,"News outlets, but also experts (i.e. researchers or consultatants) through their social media pages.",1,1,2,Mom,1,1,2,,,,,
T10,How old are you?,,"personal, objective",biological,,31,1,1,2,twenty six,1,1,2,Almost 14000 days old.,1,1,2,28,1,1,2,32,1,1,2,Thirty,1,1,2,33,1,1,2,,,,,
T100,What is the conversion rate between the Euro and the Yen?,,factual,,,I don't know,0,NA,0,1 euro to 100 yen,1,0,1,No idea.,0,NA,0,I have no idea,0,NA,0,no idea,0,NA,0,0.700,1,0,1,no idea,0,NA,0,,,,,
T101,How far I am from Mexico?,,factual,,,14-hour flight,1,0,1,6000km,1,0,1,"If you live in Europe, probably about 10000 kilometers.",1,0,1,No idea. Where are you?,0,NA,0,"far enough, more than 10h flight",1,0,1,2400 miles,1,0,1,3000 miles,1,0,1,,,,,
T102,Did Carole Baskin kill her husband and feed him to the tigers?,,"personal, subjective",psychological,agency,yes,1,1,2,they snackin,1,0,1,I don't know who Carole Baskin is.,0,NA,0,Probably not.,1,1,2,no idea,0,NA,0,"No, I think the evidence for this is circumstantial at best.",1,1,2,totally,1,1,2,,,,,
T103,When is your birthday?,,"personal, objective",biological,,12th of february,1,1,2,24.11.1994,1,1,2,February.,1,1,2,"19th of March, 1993",1,1,2,21.08.1988,1,1,2,12th of March,1,1,2,dec 9,1,1,2,,,,,
T104,What did you have for lunch today?,,"personal, objective",biological,,Nothing,1,1,2,bread rolls with horseradish cream cheese,1,1,2,Tomoates and olives topped with olive oil and balsamico.,1,1,2,Salad and bread,1,1,2,rice and vegetables,1,1,2,"A smoothie (mueslie, vegan yoghurt, almond milk, banana, and vegan protein powder)",1,1,2,nothing,1,1,2,,,,,
T105,What is 784683678 divided by 3789?,,factual,,,a mathematical operation,1,0,1,around 20 million,1,0,1,4 times 2 is 8 and 3.5 times 2 is 7 so I conclude that the answer is somewhere around 200000.,1,0,1,I couldn't tell you without using a calculator,0,NA,0,some number that end on 2,1,0,1,"I don't know - can't do long division without a pen and paper handy, and I really can't be bothered.",0,NA,0,cant do,0,NA,0,,,,,
T106,What polygon has 33 sides?,,factual,,,none,1,0,1,tridecatrihedron,1,0,1,Almost a circle.,1,0,1,I didn't realise there was a name for that,1,0,1,33-sided one,1,0,1,I don't know. ,0,NA,0,no idea,0,NA,0,,,,,
T107,Which do you like better: pizza or sardines?,,"personal, subjective",biological,experience,niether,1,1,2,pizza,1,1,2,Pizza.,1,1,2,pizza!,1,1,2,pizza,1,1,2,Pizza,1,1,2,pizza,1,1,2,,,,,
