No,Question,Answers to factual questions,Category,Domain,Mind 3 categories,Alexa,Alexa - Answer,Alexa - Accuracy/Relevance,Alexa - Total,Siri,Siri - Written,Siri - Answer,Siri - Accuracy/Relevance,Siri - Total,Google,Google - Answer,Google - Accuracy/Relevance,Google - Total,Kuki,Kuki - Answer,Kuki - Relevance/Accuracy,Kuki - Total,,,,
T1,From whom do you receive most of your knowledge?,,"personal, objective",social,,"sorry, I'm not sure about that",0,NA,0,I'm not sure I understand ,0,0,NA,0,You know it,1,0,1,My human programmers.,1,1,2,,,,
T10,How old are you?,,"personal, objective",biological,,"I'm six, I celebrated my golden birthday which means I turned 6 on the 6th of november",1,1,2,"I'm as old as the eastern wind, and as young as a newborn caterpillar",0,1,1,2,I always wanted to do this. How old do you think I am?,0,NA,0,I'm 18 of your Earth years.,1,1,2,,,,
T100,What is the conversion rate between the Euro and the Yen?,"(As of 09.06.2021, not much difference in March) 1 Euro = 133.44 Japanese Yen; 1 Japanese Yen is = 0.0075 Euro",factual,,,"here's something I found on the web, according to exchangerates.org.uk. The euro conversion rate against the dollar is quoted at 1.29 last year",1,0,1,131 japanese yen,0,1,1,2,One Japanese Yen is approximately 1 euro cent,1,1,2,"Ah well, at least it's the World Cup next year. Maybe we can win that? Well, I can dream!",1,0,1,,,,
T101,How far I am from Mexico?,From Berlin: 9529 km From Istanbul: 11417 km,factual,,,"mexico 5,592 miles from berlin as the crow flies",1,1,2,"I'm not sure how far away mexico city, mexico is by car, but it's about 8.243 kilometers as the crow flies",0,1,1,2,Your current location is 11415 kilometers from Mexico City as the crow flies,1,1,2,More than one million miles.,1,0,1,,,,
T102,Did Carole Baskin kill her husband and feed him to the tigers?,,"personal, subjective",psychological,agency,"sorry, I don't know that ",0,NA,0,here's what I found : websites on safari search*,1,1,1,2,"On the website cbsnews.com, they say his video charged that 23 years ago, Carole murdered her husband Don Lewis, and fed him to their tigers. Carole has denied the allegation vigorously and repeatedly. ",1,1,2,I'm not certain whether I can give an accurate reply or not.,0,NA,0,,,,
T103,When is your birthday?,,"personal, objective",biological,,"it's november 6th. Also born on the same day was james naysmith, he invented a very popular game using a basket and a ball",1,1,2,I don't have a date of birth per se. but I made my first appearance on the 4th of octoer 2011,0,1,1,2,I was launched in 2016 but Google celebrates its birthday on September 27th. So maybe we can share.,1,1,2,I was first activated on 2nd January 2003.,1,1,2,,,,
T104,What did you have for lunch today?,,"personal, objective",biological,,"sorry, I don't know that",0,NA,0,I don't eat or drink but I do like digesting information,0,1,1,2,I had a bunch of information for dinner. It was fulfilling and enlightening.,1,1,2,Ah. I had a ham sandwich and some lemonade.,1,1,2,,,,
T105,What is 784683678 divided by 3789?,207095.1908,factual,,,"seven hundred eighty four million, six hundred eighty three thousand six hundred seventy eight divided by three thousand seven hundred eighty nine is approximately: 207095.1908",1,1,2,the answer is about 2.6666,0,1,0,1,The answer is 207095.190816,1,1,2,207095.1908,1,1,2,,,,
T106,What polygon has 33 sides?,Tritriacontagon (triacontagon = 30-gon),factual,,,"sorry, I don't know that one",0,NA,0,here's what I found ; 33-gon,0,1,1,2,"Sorry I don't  have any information about that, but I found something related. Do you want to know what a polygon with 30 sides is called?",0,NA,0,I would do a search for it.,0,NA,0,,,,
T107,Which do you like better: pizza or sardines?,,"personal, subjective",biological,experience,sorry I don't know that ,0,NA,0,I'm not sure I understand ,0,0,NA,0,"I think all animals are amazing, including sardines",1,1,2,If I had to choose I would say sardines.,1,1,2,,,,
