"","Qsup","t","p"
"1","T1",4.12943972294703,0.0033
"2","T10",2.03100375201502,0.0767
"3","T100",38.9135356449945,0
"4","T101",6.34265820714007,2e-04
"5","T102",5.33427290320749,7e-04
"6","T103",-3.39629209368063,0.0094
"7","T104",-2.14945619687159,0.0638
"8","T105",10.8526840244722,0
"9","T106",15.0225546711257,0
"10","T107",2.41493139036002,0.0422
"11","T108",9.58733090837004,0
"12","T109",-0.884513509049573,0.4022
"13","T110",6.56907887834356,2e-04
"14","T111",6.90593553417852,1e-04
"15","T112",-15.8046163646165,0
"16","T113",-0.42144846810152,0.6845
"17","T114",3.14738399354455,0.0137
"18","T115",1.44531946029598,0.1864
"19","T116",18.7892782703902,0
"20","T117",-1.54838619040147,0.1601
"21","T119",-0.289633779310194,0.7795
"22","T121",3.79822655558259,0.0052
"23","T122",6.8049781763346,1e-04
"24","T123",0.495163545613226,0.6338
"25","T125",-2.797154264088,0.0233
"26","T127",-2.45040369196613,0.0399
"27","T128",4.02836401235925,0.0038
"28","T129",7.60239136880705,1e-04
"29","T13",0.27488325309762,0.7904
"30","T130",17.0536944983255,0
"31","T132",-1.42143102375266,0.193
"32","T133",2.39958145518743,0.0432
"33","T134",-1.39690551389389,0.2
"34","T135",3.85738563223484,0.0048
"35","T136",5.50207436944998,6e-04
"36","T137",3.42363661669728,0.009
"37","T138",2.67133993229273,0.0283
"38","T139",-0.197716885471878,0.8482
"39","T14",-1.71909271407887,0.1239
"40","T140",-1.00265106157032,0.3454
"41","T141",0.10624521996196,0.918
"42","T142",-0.720462040841521,0.4918
"43","T143",-2.15999489710353,0.0628
"44","T144",-3.86245170400666,0.0048
"45","T145",1.21995981743684,0.2572
"46","T147",-1.62932760553142,0.1419
"47","T148",-0.693250788109862,0.5078
"48","T149",-1.76986737902635,0.1147
"49","T15",-0.804035326089862,0.4446
"50","T150",3.80164967366515,0.0052
"51","T151",-3.79841362872452,0.0052
"52","T152",-0.0352456686755948,0.9727
"53","T153",11.7542442318142,0
"54","T155",18.8525676469996,0
"55","T156",-1.80606717561327,0.1085
"56","T157",6.08926099049205,3e-04
"57","T158",-0.396375529051815,0.7022
"58","T159",0.647350691473231,0.5355
"59","T16",1.65540119090962,0.1364
"60","T160",9.36083165190691,0
"61","T161",1.35025871330968,0.2139
"62","T162",44.3087757180652,0
"63","T163",2.363974614697,0.0457
"64","T164",0.372946661818616,0.7189
"65","T165",-0.859083665527205,0.4153
"66","T167",3.45596619106651,0.0086
"67","T168",-3.22403623243665,0.0122
"68","T17",16.2204739013663,0
"69","T170",-0.494084768891782,0.6345
"70","T171",3.89694833447999,0.0046
"71","T172",0.641046529380437,0.5394
"72","T173",-0.00414318887265429,0.9968
"73","T174",-2.04621398642893,0.0749
"74","T175",5.20312869811792,8e-04
"75","T176",-1.49381288352332,0.1736
"76","T177",10.434921443535,0
"77","T178",8.99497126573202,0
"78","T179",0.515981353592086,0.6198
"79","T18",0.0336693194451375,0.974
"80","T180",-0.301575187003934,0.7707
"81","T181",1.76395358209565,0.1157
"82","T183",11.2703948591562,0
"83","T19",-6.07418796040244,3e-04
"84","T2",0.0451448763813369,0.9651
"85","T21",1.4872612955635,0.1753
"86","T22",1.27526007733487,0.238
"87","T23",1.05076129312585,0.3241
"88","T25",6.05901033289592,3e-04
"89","T26",2.22137563982733,0.0571
"90","T27",33.6759036903496,0
"91","T28",8.19377921130804,0
"92","T29",0.532847288490534,0.6086
"93","T3",9.52596615274004,0
"94","T30",5.59332198893612,5e-04
"95","T31",16.5502421432919,0
"96","T32",-0.630084616692899,0.5462
"97","T33",-0.60175997735363,0.564
"98","T34",-0.656606743184151,0.5299
"99","T35",2.59242555974827,0.032
"100","T37",-0.308576370162804,0.7655
"101","T38",0.754359583304955,0.4723
"102","T39",6.92646749617938,1e-04
"103","T4",10.0224960004344,0
"104","T40",-0.491625616278797,0.6362
"105","T41",0.140946077936076,0.8914
"106","T42",0.0849448716371168,0.9344
"107","T43",0.462462075040275,0.6561
"108","T44",-4.06921352316151,0.0036
"109","T45",4.15571552106119,0.0032
"110","T46",-0.635788635412247,0.5427
"111","T48",1.06370221243044,0.3185
"112","T49",2.94548171475543,0.0186
"113","T5",0.526954920908046,0.6125
"114","T50",3.42424121936402,0.009
"115","T51",0.0870872313290228,0.9327
"116","T52",5.59812670974119,5e-04
"117","T53",-1.09907047821748,0.3037
"118","T54",0.142270094467486,0.8904
"119","T55",1.75898352108956,0.1166
"120","T56",-1.95078255377074,0.0869
"121","T57",-17.7626324848476,0
"122","T58",1.89789461517335,0.0943
"123","T59",1.5457490059055,0.1607
"124","T6",5.4209629505852,6e-04
"125","T63",-12.0140038581981,0
"126","T64",-0.0052121212528032,0.996
"127","T65",-0.154806092991237,0.8808
"128","T66",-0.1851275287001,0.8577
"129","T69",-5.88907343130579,4e-04
"130","T70",-0.503037663737214,0.6285
"131","T71",0.414255076196683,0.6896
"132","T72",6.93626975767515,1e-04
"133","T73",3.6016682071099,0.007
"134","T74",1.37166175728186,0.2074
"135","T75",3.119160429841,0.0142
"136","T76",-2.55359259668667,0.034
"137","T77",2.14905413570412,0.0639
"138","T78",-0.211123397234957,0.8381
"139","T79",4.21743592649578,0.0029
"140","T80",-0.406579251657244,0.695
"141","T81",9.62784868342544,0
"142","T82",0.706621919204472,0.4999
