"","Qsup","t","p"
"1","T1",15.5885846340563,0
"2","T10",34.9546409032363,0
"3","T100",12.4898699156731,0
"4","T101",12.6251742395826,0
"5","T102",18.0891023338936,0
"6","T103",33.5345029502917,0
"7","T104",17.6317082141567,0
"8","T105",8.57418272637497,0
"9","T106",4.6268107556235,0.0017
"10","T107",22.4263856238808,0
"11","T108",20.92949059873,0
"12","T109",21.8142464681452,0
"13","T110",29.0927883641226,0
"14","T111",42.8802309301332,0
"15","T112",14.8429888683854,0
"16","T113",43.5052902078511,0
"17","T114",14.4946407680402,0
"18","T115",0.32404758560243,0.7542
"19","T116",13.3447765730215,0
"20","T117",7.82798730316714,1e-04
"21","T119",3.96995257838585,0.0041
"22","T121",18.9810033584373,0
"23","T122",4.59117948517096,0.0018
"24","T123",14.1805535169268,0
"25","T125",9.78077209481553,2e-04
"26","T127",9.96955034867041,0
"27","T128",33.3841381108957,0
"28","T129",12.7329222687028,0
"29","T13",6.28588039676932,2e-04
"30","T130",22.3343785335794,0
"31","T132",20.8810675239962,0
"32","T133",32.4335870209776,0
"33","T134",10.2254597141351,0
"34","T135",12.0926735077185,0
"35","T136",27.0463328685655,0
"36","T137",11.4525666787386,1e-04
"37","T138",40.7798063346064,6e-04
"38","T139",1.3706738150117,0.2077
"39","T14",9.5524072594109,0
"40","T140",24.7063898539798,0
"41","T141",39.596226704029,0
"42","T142",3.69418677046863,0.0061
"43","T143",6.03966008044102,3e-04
"44","T144",29.5981012968121,0
"45","T145",1.30601996992089,0.2484
"46","T147",15.7392076492308,0
"47","T148",26.6420246769234,0
"48","T149",11.854723578256,1e-04
"49","T15",5.42100566123487,6e-04
"50","T150",10.5997074973944,0
"51","T151",17.1810024349412,0
"52","T152",24.0342397730515,0
"53","T153",14.9194220385534,0
"54","T155",27.9074112692699,0
"55","T156",44.0598406766653,0
"56","T157",30.8406531606801,0
"57","T158",28.7186743419068,0
"58","T159",8.34548621961042,0
"59","T16",79.3505611757859,0
"60","T160",14.9632597796849,0
"61","T161",12.9775140780808,0
"62","T162",44.7667080888897,0
"63","T163",4.61473113644421,0.0058
"64","T164",66.0040770454759,0
"65","T165",12.082409680718,0
"66","T167",5.88218750048977,0.002
"67","T168",9.35081415504579,0
"68","T17",20.8186586113013,0
"69","T170",38.114224949662,0
"70","T171",14.5515346470144,0
"71","T172",6.53048087007612,2e-04
"72","T173",11.6345775578192,0
"73","T174",9.12325575655551,3e-04
"74","T175",10.214693445599,0
"75","T176",23.2016587522297,0
"76","T177",18.6590231523371,0
"77","T178",15.4657720986057,0
"78","T179",45.4004865455995,0
"79","T18",7.79521039245954,1e-04
"80","T180",5.13740474634646,9e-04
"81","T181",57.1192546980246,0
"82","T183",7.24569267130959,1e-04
"83","T19",26.2671761257721,0
"84","T2",19.6513733992313,0
"85","T21",26.9821143710774,0
"86","T22",1.56034263052727,0.1573
"87","T23",6.91125556193665,1e-04
"88","T25",62.7361400015738,0
"89","T26",68.6350980234425,0
"90","T27",27.8015366906947,0
"91","T28",6.1461330794911,3e-04
"92","T29",8.8338105136193,0
"93","T3",20.7748908595072,0
"94","T30",14.921374280629,0
"95","T31",14.5762365536778,0
"96","T32",0.69741845040591,0.5053
"97","T33",17.0651002735871,0
"98","T34",13.0170690925385,0
"99","T35",26.4206192315454,0
"100","T37",18.9067636267492,0
"101","T38",8.10439075513813,0
"102","T39",16.8201944298218,0
"103","T4",11.433818024634,0
"104","T40",21.6707544559748,0
"105","T41",13.0215676915985,0
"106","T42",33.5848805255666,0
"107","T43",14.1313939471187,0
"108","T44",3.92222214167266,0.0044
"109","T45",16.0833890682409,0
"110","T46",26.4551514067098,0
"111","T48",4.72070628260802,0.0015
"112","T49",15.4541056264322,0
"113","T5",26.2168309326287,0
"114","T50",39.6885997405375,0
"115","T51",2.19259849352554,0.0798
"116","T52",5.69707626343211,0.0023
"117","T53",46.948511289062,0
"118","T54",19.712659557956,0
"119","T55",3.93759596012861,0.0043
"120","T56",50.845928142372,0
"121","T57",1.30395740834648,0.2285
"122","T58",14.1670974587405,0
"123","T59",20.4104950933465,0
"124","T6",29.0591749673477,0
"125","T63",9.27199867222031,0
"126","T64",22.988127390189,0
"127","T65",16.481865417205,0
"128","T66",55.4327963656593,0
"129","T69",21.719603273395,0
"130","T70",33.7541131382405,0
"131","T71",30.578107774361,0
"132","T72",59.2463801597203,0
"133","T73",19.8392951853763,0
"134","T74",8.02478147192917,0
"135","T75",10.9202501548628,1e-04
"136","T76",16.731997166887,0
"137","T77",69.0573358391888,0
"138","T78",23.6378739118291,0
"139","T79",7.77431809323248,1e-04
"140","T80",23.8484596268866,0
"141","T81",14.5811358396612,0
"142","T82",34.8930918649389,0
"143","T83",8.71680814281545,0
"144","T84",9.99756680273059,0
"145","T86",40.1551737401129,0
"146","T87",2.91525351168071,0.0194
"147","T88",9.0334999884728,3e-04
"148","T89",19.2628339150123,0
"149","T90",5.34830328284858,7e-04
"150","T91",16.4551186699131,0
"151","T92",13.3289985804923,0
"152","T93",40.5221063469611,0
"153","T94",19.677514355295,0
"154","T96",10.9484944690897,0
"155","T97",17.7331041875859,0
"156","T98",30.6793833887242,0
"157","T99",15.6251174082115,0
