,,ResponseId,Rationale,Formality,Length,Detail,Emotion,Authenticity,Self
0,60,R_3EWMM5Im3sfPpQj,"The wording, how stiff the answers seemed sometimes. What a human would be likely to reply with and how they'd say it.",1,,,1,,
0,98,R_QgeRuHIqJOVZzhL,The answers that seemed most likely to from a human in my opinion ,,,,,,1
2,90,R_D1Qlw1wTvLqkf7P,If it was a specific fact I thought that was AI but if it was a specific memory with lots of detail I thought human. ,,,1,,1,
3,6,R_1DYKKGGNpFAkGnc,"How I would respond in that situation, or how people I know would respond. Generally, I would think that AI also gives more precise answers for some questions. ",,,1,,,1
5,81,R_3QRSedeEHkCCKzS,"the use of slang, off the wall answers, not knowing the most trivial of facts, language that didn't sound like an answer from Alexa, sometimes the response just seemed human....other times I was utterly stumped.",1,,1,,1,
5,61,R_3F3xuhOdALWslw1,"Shorter more precise answers seemed more human, as did ones with less formal use of punctuation.",1,1,,,,
7,22,R_1PcVyjMHeyi0BJz,"I often treated the question as if I were the person answering. I frequently chose the shorter answer as humans don’t tend to elaborate much in my experience ! I did occasionally feel as if I wanted to answer with which ever statement fitted my feeling or opinion, so had to stop and think about the real question ! I also took notice of the answers which were not known and assume a human would be that answer as I felt AI would access the answer for everything factual. ",,1,1,,,1
7,111,R_WrCK6q44S5sTPZ7,I imagined a conversation and how people tend to respond naturally. I also considered how I would respond to some of the questions.,,,,,,1
8,101,R_s4MpBnEz3v8qmcN,"punctuation, longer sentences, etc were AI
slang was human ",1,1,,,,
10,42,R_2nT05kslxSgrKUh,Language used,,,,,,
12,97,R_pJW7bPSbbUiepOh,"Casual phrasing and level of detail in the answer. Some were identical, black and white answers though",1,,1,,,
12,63,R_3g7PojarQ11bPbp,Human answers are less specific.  AI is more factual.  I also went with answers I was more likely to give,,,1,,,1
13,99,R_RKUtf2ZrkzZZ8dP,"If the answer isn't too long or wordy, or not giving unnecessarily long answers and not almost artificial sounding e.g. with the answers of what love means. ",,1,,,,
13,84,R_6njrzzvZ0Z2RILn,factors that were true to how I would answer and how I would guess the mass population would answer,,,,,,1
14,4,R_1C7PCvRbnwd0uQr,"I tried to choose answers that were in detail, this could've been longer answers and more in depth.",,,1,,,
16,110,R_wNJ8Kp3GZPJ2TkJ,"If an answer for a difficult maths question was too precise I thought it was likely AL, as most people would have no clue to the answer.If a answer was too detailed I guessed it was AI also.  Some answers seemed spontaneous ie human and others too studied ie AL. Not sure why there were multiple questions with the same answer though?  Overall many of answers I had no idea if human or AI!",,,1,,1,
17,88,R_baeaKrcsFviJUqZ,Anything that gave a detailed answer was likely to be made by AI,,,1,,,
17,115,R_Y3ncp9kaU4UKaw9,I could be wrong but I thought the ai gave unnecessary information. There was also a few questions that most people wouldn’t know the answer to and the ai gave the exact answer which made it obvious. ,,,1,,,
18,43,R_2P6GMJjHMwAkdtz,I chose the more unique experiences as human. Such as saying they liked the smell of garlic instead of the generic ocean or fresh cut grass.,,,,,1,
19,117,R_ysAyLQiTi34XeOB,"I looked for imperfections in grammar, and a more 'informal' response rather than a perfectly structured answer. I paid attention to answers showing details about the nuances of emotions. ",1,,,,,
19,21,R_1Ok6kkFrfrxmQs0,I put myself in the scenario and thought of how I would answer the questions,,,,,,1
22,11,R_1kFeoROChNGdGug,Anything that seemed overly verbose seemed fake. Otherwise I just went with whichever seems most like how I would answer a question.,,1,,,,1
22,74,R_3mYU4AEwJEaBwdz,"If something was too specific i.e. the answer to PI then I chose the other answer
Anything that sounded like a human said it i.e. 'nope' then I chose that.",,,1,,,1
